http://www.footballperspective.com/draft-value-chart/,,
Pick,AV,JP
1,39.6,3000
2,36.3,2600
3,34.2,2200
4,32.6,1800
5,31.4,1700
6,30.3,1600
7,29.3,1500
8,28.4,1400
9,27.6,1350
10,26.9,1300
11,26.2,1250
12,25.6,1200
13,25,1150
14,24.4,1100
15,23.8,1050
16,23.3,1000
17,22.8,950
18,22.3,900
19,21.9,875
20,21.5,850
21,21,800
22,20.6,780
23,20.3,760
24,19.9,740
25,19.5,720
26,19.2,700
27,18.8,680
28,18.5,660
29,18.2,640
30,17.9,620
31,17.6,600
32,17.3,590
33,17,580
34,16.7,560
35,16.4,550
36,16.2,540
37,15.9,530
38,15.7,520
39,15.4,510
40,15.2,500
41,15,490
42,14.7,480
43,14.5,470
44,14.3,460
45,14.1,450
46,13.9,440
47,13.7,430
48,13.5,420
49,13.3,410
50,13.1,400
51,12.9,390
52,12.7,380
53,12.6,370
54,12.4,360
55,12.2,350
56,12,340
57,11.9,330
58,11.7,320
59,11.6,310
60,11.4,300
61,11.2,292
62,11.1,284
63,10.9,276
64,10.8,270
65,10.6,265
66,10.5,260
67,10.4,255
68,10.2,250
69,10.1,245
70,10,240
71,9.8,235
72,9.7,230
73,9.6,225
74,9.4,220
75,9.3,215
76,9.2,210
77,9.1,205
78,9,200
79,8.8,195
80,8.7,190
81,8.6,185
82,8.5,180
83,8.4,175
84,8.3,170
85,8.2,165
86,8.1,160
87,8,155
88,7.9,150
89,7.8,145
90,7.7,140
91,7.7,136
92,7.6,132
93,7.5,128
94,7.4,124
95,7.3,120
96,7.2,116
97,7.1,112
98,7,108
99,6.9,104
100,6.9,100
101,6.8,96
102,6.7,92
103,6.6,88
104,6.5,86
105,6.4,84
106,6.4,82
107,6.3,80
108,6.2,78
109,6.1,76
110,6.1,74
111,6,72
112,5.9,70
113,5.8,68
114,5.8,66
115,5.7,64
116,5.6,62
117,5.5,60
118,5.5,58
119,5.4,56
120,5.3,54
121,5.3,52
122,5.2,50
123,5.1,49
124,5,48
125,5,47
126,4.9,46
127,4.8,45
128,4.8,44
129,4.7,43
130,4.6,42
131,4.6,41
132,4.5,40
133,4.5,39.5
134,4.4,39
135,4.3,38.5
136,4.3,38
137,4.2,37.5
138,4.1,37
139,4.1,36.5
140,4,36
141,4,35.5
142,3.9,35
143,3.8,34.5
144,3.8,34
145,3.7,33.5
146,3.7,33
147,3.6,32.6
148,3.6,32.2
149,3.5,31.8
150,3.4,31.4
151,3.4,31
152,3.3,30.6
153,3.3,30.2
154,3.2,29.8
155,3.2,29.4
156,3.1,29
157,3.1,28.6
158,3,28.2
159,2.9,27.8
160,2.9,27.4
161,2.8,27
162,2.8,26.6
163,2.7,26.2
164,2.7,25.8
165,2.6,25.4
166,2.6,25
167,2.5,24.6
168,2.5,24.2
169,2.4,23.8
170,2.4,23.4
171,2.3,23
172,2.3,22.6
173,2.2,22.2
174,2.2,21.8
175,2.1,21.4
176,2.1,21
177,2,20.6
178,2,20.2
179,1.9,19.8
180,1.9,19.4
181,1.9,19
182,1.8,18.6
183,1.8,18.2
184,1.7,17.8
185,1.7,17.4
186,1.6,17
187,1.6,16.6
188,1.5,16.2
189,1.5,15.8
190,1.4,15.4
191,1.4,15
192,1.4,14.6
193,1.3,14.2
194,1.3,13.8
195,1.2,13.4
196,1.2,13
197,1.1,12.6
198,1.1,12.2
199,1.1,11.8
200,1,11.4
201,1,11
202,0.9,10.6
203,0.9,10.2
204,0.8,9.8
205,0.8,9.4
206,0.8,9
207,0.7,8.6
208,0.7,8.2
209,0.6,7.8
210,0.6,7.4
211,0.6,7
212,0.5,6.6
213,0.5,6.2
214,0.4,5.8
215,0.4,5.4
216,0.4,5
217,0.3,4.6
218,0.3,4.2
219,0.2,3.8
220,0.2,3.4
221,0.2,3
222,0.1,2.6
223,0.1,2.3
224,0.1,2
225,0.1,2
226,0.1,2
227,0.1,2
228,0.1,2
229,0.1,2
230,0.1,2
231,0.1,2
232,0.1,2
233,0.1,2
234,0.1,2
235,0.1,2
236,0.1,2
237,0.1,2
238,0.1,2
239,0.1,2
240,0.1,2
241,0.1,2
242,0.1,2
243,0.1,2
244,0.1,2
245,0.1,2
246,0.1,2
247,0.1,2
248,0.1,2
249,0.1,2
250,0.1,2
251,0.1,2
252,0.1,2
253,0.1,2
254,0.1,2
255,0.1,2
256,0.1,2
