Tm,Team,Nickname
nyj,NYJ,Jets
mia,MIA,Dolphins
nwe,NWE,Patriots
buf,BUF,Bills
pit,PIT,Steelers
rav,BAL,Ravens
cle,CLE,Browns
cin,CIN,Bengals
clt,IND,Packers
jax,JAX,Lions
htx,HOU,Texans
oti,TEN,Titans
kan,KAN,Chiefs
sdg,LAC,Chargers
rai,LVR,Raiders
den,DEN,Broncos
phi,PHI,Eagles
nyg,NYG,Giants
dal,DAL,Cowboys
was,WAS,Washington
chi,CHI,Bears
gnb,GNB,Packers
det,DET,Lions
min,MIN,Vikings
atl,ATL,Falcons
nor,NOR,Saints
tam,TAM,Buccaneers
car,CAR,Panthers
sea,SEA,Seahawks
ram,LAR,Rams
sfo,SFO,49ers
crd,ARI,Cardinals
